secs,km,alt
1,0.00844,584.6
2,0.0169933,584.6
3,0.0255467,584.6
4,0.0341,584.6
5,0.040515,584.6
6,0.04693,584.6
7,0.053345,584.6
8,0.05976,584.6
9,0.066192,584.6
10,0.072624,584.6
11,0.079056,584.6
12,0.085488,584.6
13,0.09192,584.6
14,0.0999625,584.6
15,0.108005,584.6
16,0.116047,584.6
17,0.12409,584.6
18,0.130522,584.64
19,0.136954,584.68
20,0.143386,584.72
21,0.149818,584.76
22,0.15625,584.8
23,0.162682,584.84
24,0.169114,584.88
25,0.175546,584.92
26,0.181978,584.96
27,0.18841,585
28,0.19708,585.2
29,0.20575,585.4
30,0.21442,585.6
31,0.220925,585.65
32,0.22743,585.7
33,0.233935,585.75
34,0.24044,585.8
35,0.246943,585.85
36,0.253445,585.9
37,0.259947,585.95
38,0.26645,586
39,0.275415,586.2
40,0.28438,586.4
41,0.290357,586.4
42,0.296333,586.4
43,0.30231,586.4
44,0.30821,586.467
45,0.31411,586.533
46,0.32001,586.6
47,0.32886,586.5
48,0.33771,586.4
49,0.34561,586.4
50,0.35351,586.4
51,0.360347,586.4
52,0.367185,586.4
53,0.374022,586.4
54,0.38086,586.4
55,0.38692,586.4
56,0.39298,586.4
57,0.39904,586.4
58,0.405433,586.533
59,0.411827,586.667
60,0.41822,586.8
61,0.426557,587.067
62,0.434893,587.333
63,0.44323,587.6
64,0.450665,588.2
65,0.4581,588.8
66,0.464495,589.6
67,0.47089,590.4
68,0.477065,591.3
69,0.48324,592.2
70,0.488903,592.8
71,0.494567,593.4
72,0.50023,594
73,0.51027,595.6
74,0.517853,596
75,0.525437,596.4
76,0.53302,596.8
77,0.53767,597.2
78,0.54777,597.8
79,0.55514,597.2
80,0.55894,596.7
81,0.56274,596.2
82,0.57425,593.2
83,0.57851,591.4
84,0.58486,589.6
85,0.59407,585.4
86,0.59837,583.4
87,0.61036,579
88,0.61603,575.2
89,0.62275,573.4
90,0.63057,571.8
91,0.637046,571.48
92,0.643522,571.16
93,0.649998,570.84
94,0.656474,570.52
95,0.66295,570.2
96,0.669345,569.8
97,0.67574,569.4
98,0.682135,569
99,0.68853,568.6
100,0.69966,567.4
101,0.706713,567.067
102,0.713767,566.733
